Data_godzina	Pobor_[kWh]	Generowanie_[kWh]
08.01.2020 01:00	0,645	0
08.01.2020 02:00	0,491	0
08.01.2020 03:00	0,447	0
08.01.2020 04:00	0,355	0
08.01.2020 05:00	0,356	0
08.01.2020 06:00	0,27	0
08.01.2020 07:00	0,388	0
08.01.2020 08:00	0,353	0
08.01.2020 09:00	0,276	0,215
08.01.2020 10:00	0,261	1,6
08.01.2020 11:00	0,195	2,402
08.01.2020 12:00	0,087	2,541
08.01.2020 13:00	1,209	1,659
08.01.2020 14:00	1,356	1,149
08.01.2020 15:00	1,821	0,413
08.01.2020 16:00	1,019	0,03
08.01.2020 17:00	1,371	0
08.01.2020 18:00	1,235	0
08.01.2020 19:00	1,37	0
08.01.2020 20:00	1,939	0
08.01.2020 21:00	1,323	0
08.01.2020 22:00	1,43	0
08.01.2020 23:00	1,647	0
08.01.2020 00:00	1,196	0
09.01.2020 01:00	1,228	0
09.01.2020 02:00	1,782	0
09.01.2020 03:00	0,295	0
09.01.2020 04:00	0,407	0
09.01.2020 05:00	0,285	0
09.01.2020 06:00	0,349	0
09.01.2020 07:00	0,54	0
09.01.2020 08:00	0,44	0
09.01.2020 09:00	0,35	0,004
09.01.2020 10:00	0,221	0,08
09.01.2020 11:00	0,106	0,165
09.01.2020 12:00	0,288	0,16
09.01.2020 13:00	0,828	0,081
09.01.2020 14:00	0,962	0,022
09.01.2020 15:00	0,407	0,062
09.01.2020 16:00	0,425	0,002
09.01.2020 17:00	0,479	0
09.01.2020 18:00	0,633	0
09.01.2020 19:00	0,634	0
09.01.2020 20:00	0,684	0
09.01.2020 21:00	0,604	0
09.01.2020 22:00	0,7	0
09.01.2020 23:00	0,98	0
09.01.2020 00:00	1,35	0
10.01.2020 01:00	0,979	0
10.01.2020 02:00	0,487	0
10.01.2020 03:00	0,936	0
10.01.2020 04:00	0,292	0
10.01.2020 05:00	0,363	0
10.01.2020 06:00	0,349	0
10.01.2020 07:00	0,309	0
10.01.2020 08:00	0,364	0
10.01.2020 09:00	0,307	0,266
10.01.2020 10:00	0,082	0,213
10.01.2020 11:00	0,006	1,273
10.01.2020 12:00	0,011	1,41
10.01.2020 13:00	0,06	1,385
10.01.2020 14:00	0,894	1,027
10.01.2020 15:00	0,549	0,524
10.01.2020 16:00	1,186	0,03
10.01.2020 17:00	1,766	0
10.01.2020 18:00	1,333	0
10.01.2020 19:00	1,314	0
10.01.2020 20:00	0,977	0
10.01.2020 21:00	0,681	0
10.01.2020 22:00	1,16	0
10.01.2020 23:00	1,058	0
10.01.2020 00:00	0,883	0
11.01.2020 01:00	1,212	0
11.01.2020 02:00	1,159	0
11.01.2020 03:00	0,353	0
11.01.2020 04:00	0,352	0
11.01.2020 05:00	0,34	0
11.01.2020 06:00	0,413	0
11.01.2020 07:00	0,375	0
11.01.2020 08:00	0,395	0
11.01.2020 09:00	0,412	0
11.01.2020 10:00	0,669	0
11.01.2020 11:00	0,437	0
11.01.2020 12:00	0,375	0,001
11.01.2020 13:00	0,374	0,005
11.01.2020 14:00	1,237	0,001
11.01.2020 15:00	0,667	0
11.01.2020 16:00	0,791	0
11.01.2020 17:00	1,329	0
11.01.2020 18:00	0,9	0
11.01.2020 19:00	0,951	0
11.01.2020 20:00	1,134	0
11.01.2020 21:00	1,81	0
11.01.2020 22:00	2,4	0
11.01.2020 23:00	1,208	0
11.01.2020 00:00	1,326	0
12.01.2020 01:00	0,63	0
12.01.2020 02:00	0,599	0
12.01.2020 03:00	0,514	0
12.01.2020 04:00	0,382	0
12.01.2020 05:00	0,477	0
12.01.2020 06:00	0,607	0
12.01.2020 07:00	0,424	0
12.01.2020 08:00	0,411	0
12.01.2020 09:00	0,184	0,268
12.01.2020 10:00	0,008	1,454
12.01.2020 11:00	0,075	2,062
12.01.2020 12:00	0,34	2,447
12.01.2020 13:00	0,404	2,43
12.01.2020 14:00	0	1,823
12.01.2020 15:00	0,267	0,397
12.01.2020 16:00	0,904	0,003
12.01.2020 17:00	1,679	0
12.01.2020 18:00	1,026	0
12.01.2020 19:00	2,224	0
12.01.2020 20:00	1,388	0
12.01.2020 21:00	1,145	0
12.01.2020 22:00	1,599	0
12.01.2020 23:00	1,253	0
12.01.2020 00:00	1,017	0
13.01.2020 01:00	1,693	0
13.01.2020 02:00	1,13	0
13.01.2020 03:00	0,321	0
13.01.2020 04:00	0,353	0
13.01.2020 05:00	0,395	0
13.01.2020 06:00	0,364	0
13.01.2020 07:00	0,338	0
13.01.2020 08:00	0,318	0
13.01.2020 09:00	0,418	0
13.01.2020 10:00	0,32	0,077
13.01.2020 11:00	0,831	0,121
13.01.2020 12:00	0,094	0,404
13.01.2020 13:00	0,104	0,209
13.01.2020 14:00	0,136	0,19
13.01.2020 15:00	0,168	0,16
13.01.2020 16:00	0,334	0,014
13.01.2020 17:00	0,428	0
13.01.2020 18:00	0,392	0
13.01.2020 19:00	0,344	0
13.01.2020 20:00	0,386	0
13.01.2020 21:00	0,665	0
13.01.2020 22:00	0,628	0
13.01.2020 23:00	0,671	0
13.01.2020 00:00	0,539	0
14.01.2020 01:00	0,426	0
14.01.2020 02:00	0,469	0
14.01.2020 03:00	0,443	0
14.01.2020 04:00	0,641	0
14.01.2020 05:00	0,265	0
14.01.2020 06:00	0,379	0
14.01.2020 07:00	0,329	0
14.01.2020 08:00	0,304	0,001
14.01.2020 09:00	0,063	0,429
14.01.2020 10:00	0,42	1,717
14.01.2020 11:00	0	2,439
14.01.2020 12:00	0,001	2,185
14.01.2020 13:00	0,545	1,364
14.01.2020 14:00	1,002	0,614
14.01.2020 15:00	0,193	0,38
14.01.2020 16:00	0,194	0,065
14.01.2020 17:00	0,334	0
14.01.2020 18:00	0,318	0
14.01.2020 19:00	0,65	0
14.01.2020 20:00	0,837	0
14.01.2020 21:00	0,811	0
14.01.2020 22:00	1,038	0
14.01.2020 23:00	0,748	0
14.01.2020 00:00	0,855	0
15.01.2020 01:00	0,516	0
15.01.2020 02:00	0,944	0
15.01.2020 03:00	0,664	0
15.01.2020 04:00	0,396	0
15.01.2020 05:00	0,386	0
15.01.2020 06:00	0,447	0
15.01.2020 07:00	0,469	0
15.01.2020 08:00	0,518	0,001
15.01.2020 09:00	0,091	0,477
15.01.2020 10:00	0,125	1,767
15.01.2020 11:00	0,337	2,624
15.01.2020 12:00	0,075	2,901
15.01.2020 13:00	0	2,673
15.01.2020 14:00	0	1,836
15.01.2020 15:00	0,889	0,728
15.01.2020 16:00	0,678	0,076
15.01.2020 17:00	0,518	0
15.01.2020 18:00	0,466	0
15.01.2020 19:00	0,779	0
15.01.2020 20:00	0,869	0
15.01.2020 21:00	0,968	0
15.01.2020 22:00	0,792	0
15.01.2020 23:00	0,784	0
15.01.2020 00:00	1,111	0
16.01.2020 01:00	0,631	0
16.01.2020 02:00	0,906	0
16.01.2020 03:00	0,511	0
16.01.2020 04:00	0,387	0
16.01.2020 05:00	0,463	0
16.01.2020 06:00	0,462	0
16.01.2020 07:00	0,412	0
16.01.2020 08:00	0,447	0
16.01.2020 09:00	0,522	0
16.01.2020 10:00	0,577	0
16.01.2020 11:00	0,564	0,001
16.01.2020 12:00	0,41	0,093
16.01.2020 13:00	0,757	0,645
16.01.2020 14:00	0,11	0,425
16.01.2020 15:00	0,067	0,705
16.01.2020 16:00	0,362	0,067
16.01.2020 17:00	0,524	0
16.01.2020 18:00	0,765	0
16.01.2020 19:00	1,789	0
16.01.2020 20:00	1,446	0
16.01.2020 21:00	1,476	0
16.01.2020 22:00	1,424	0
16.01.2020 23:00	1,33	0
16.01.2020 00:00	1,42	0
17.01.2020 01:00	1,034	0
17.01.2020 02:00	1,069	0
17.01.2020 03:00	1,198	0
17.01.2020 04:00	0,309	0
17.01.2020 05:00	0,341	0
17.01.2020 06:00	0,361	0
17.01.2020 07:00	0,35	0
17.01.2020 08:00	0,766	0
17.01.2020 09:00	1,488	0,009
17.01.2020 10:00	0,978	0,051
17.01.2020 11:00	1,185	0,03
17.01.2020 12:00	1,085	0,063
17.01.2020 13:00	0,826	0,146
17.01.2020 14:00	0,863	0,074
17.01.2020 15:00	1,439	0
17.01.2020 16:00	0,713	0
17.01.2020 17:00	0,635	0
17.01.2020 18:00	1,172	0
17.01.2020 19:00	1,76	0
17.01.2020 20:00	0,967	0
17.01.2020 21:00	1,217	0
17.01.2020 22:00	1,496	0
17.01.2020 23:00	1,045	0
17.01.2020 00:00	1,007	0
18.01.2020 01:00	0,651	0
18.01.2020 02:00	0,386	0
18.01.2020 03:00	0,304	0
18.01.2020 04:00	0,387	0
18.01.2020 05:00	0,352	0
18.01.2020 06:00	1,46	0
18.01.2020 07:00	0,485	0
18.01.2020 08:00	0,411	0
18.01.2020 09:00	0,704	0
18.01.2020 10:00	0,599	0,007
18.01.2020 11:00	0,544	0,038
18.01.2020 12:00	0,415	0,118
18.01.2020 13:00	0,722	0,158
18.01.2020 14:00	2,471	0,002
18.01.2020 15:00	1,514	0,001
18.01.2020 16:00	1,781	0
18.01.2020 17:00	1,746	0
18.01.2020 18:00	1,642	0
18.01.2020 19:00	1,749	0
18.01.2020 20:00	2,263	0
18.01.2020 21:00	1,589	0
18.01.2020 22:00	1,287	0
18.01.2020 23:00	0,656	0
18.01.2020 00:00	0,596	0
19.01.2020 01:00	1,077	0
19.01.2020 02:00	0,891	0
19.01.2020 03:00	0,295	0
19.01.2020 04:00	0,365	0
19.01.2020 05:00	0,36	0
19.01.2020 06:00	0,37	0
19.01.2020 07:00	0,294	0
19.01.2020 08:00	0,305	0
19.01.2020 09:00	0,272	0
19.01.2020 10:00	0,251	0,011
19.01.2020 11:00	0,773	0,115
19.01.2020 12:00	1,513	0,024
19.01.2020 13:00	1,426	0,066
19.01.2020 14:00	2,572	0,014
19.01.2020 15:00	2,331	0,01
19.01.2020 16:00	1,392	0
19.01.2020 17:00	1,977	0
19.01.2020 18:00	1,536	0
19.01.2020 19:00	0,951	0
19.01.2020 20:00	1,045	0
19.01.2020 21:00	1,133	0
19.01.2020 22:00	1,128	0
19.01.2020 23:00	0,938	0
19.01.2020 00:00	2,075	0
20.01.2020 01:00	1,964	0
20.01.2020 02:00	0,93	0
20.01.2020 03:00	0,56	0
20.01.2020 04:00	0,394	0
20.01.2020 05:00	0,336	0
20.01.2020 06:00	0,326	0
20.01.2020 07:00	0,352	0
20.01.2020 08:00	0,563	0
20.01.2020 09:00	0,384	0,083
20.01.2020 10:00	0,574	0,041
20.01.2020 11:00	0,542	0,197
20.01.2020 12:00	0,447	0,111
20.01.2020 13:00	1,559	0,084
20.01.2020 14:00	0,561	0,07
20.01.2020 15:00	0,699	0,014
20.01.2020 16:00	0,911	0
20.01.2020 17:00	2,032	0
20.01.2020 18:00	2,897	0
20.01.2020 19:00	2,907	0
20.01.2020 20:00	2,817	0
20.01.2020 21:00	1,972	0
20.01.2020 22:00	0,936	0
20.01.2020 23:00	0,928	0
20.01.2020 00:00	0,78	0
21.01.2020 01:00	0,807	0
21.01.2020 02:00	0,633	0
21.01.2020 03:00	0,567	0
21.01.2020 04:00	0,636	0
21.01.2020 05:00	0,793	0
21.01.2020 06:00	0,646	0
21.01.2020 07:00	0,639	0
21.01.2020 08:00	0,855	0,001
21.01.2020 09:00	0,409	0,593
21.01.2020 10:00	0,073	1,643
21.01.2020 11:00	0,004	2,426
21.01.2020 12:00	0	2,66
21.01.2020 13:00	0,004	2,641
21.01.2020 14:00	0,147	1,836
21.01.2020 15:00	0,187	1,005
21.01.2020 16:00	1,204	0,074
21.01.2020 17:00	1,118	0
21.01.2020 18:00	1,328	0
21.01.2020 19:00	1,193	0
21.01.2020 20:00	1,028	0
21.01.2020 21:00	0,943	0
21.01.2020 22:00	1,117	0
21.01.2020 23:00	1,422	0
21.01.2020 00:00	2,09	0
22.01.2020 01:00	0,885	0
22.01.2020 02:00	0,686	0
22.01.2020 03:00	0,917	0
22.01.2020 04:00	0,577	0
22.01.2020 05:00	0,64	0
22.01.2020 06:00	0,704	0
22.01.2020 07:00	0,731	0
22.01.2020 08:00	0,601	0,006
22.01.2020 09:00	0,309	0,251
22.01.2020 10:00	0,134	1,539
22.01.2020 11:00	0,398	0,333
22.01.2020 12:00	0,596	0,278
22.01.2020 13:00	1,262	0,078
22.01.2020 14:00	0,584	0,084
22.01.2020 15:00	1,009	0,001
22.01.2020 16:00	0,859	0
22.01.2020 17:00	0,93	0
22.01.2020 18:00	1,14	0
22.01.2020 19:00	1,134	0
22.01.2020 20:00	1,128	0
22.01.2020 21:00	1,444	0
22.01.2020 22:00	0,805	0
22.01.2020 23:00	0,92	0
22.01.2020 00:00	0,944	0
23.01.2020 01:00	1,4	0
23.01.2020 02:00	1,363	0
23.01.2020 03:00	0,497	0
23.01.2020 04:00	0,389	0
23.01.2020 05:00	0,374	0
23.01.2020 06:00	0,426	0
23.01.2020 07:00	0,337	0
23.01.2020 08:00	0,495	0
23.01.2020 09:00	0,16	0,071
23.01.2020 10:00	0,222	0,317
23.01.2020 11:00	0,253	0,645
23.01.2020 12:00	0,132	1,715
23.01.2020 13:00	0,387	2,197
23.01.2020 14:00	0,536	0,629
23.01.2020 15:00	0,792	0,076
23.01.2020 16:00	0,639	0
23.01.2020 17:00	0,708	0
23.01.2020 18:00	1,288	0
23.01.2020 19:00	1,717	0
23.01.2020 20:00	1,482	0
23.01.2020 21:00	0,876	0
23.01.2020 22:00	1,137	0
23.01.2020 23:00	1,69	0
23.01.2020 00:00	1,595	0
24.01.2020 01:00	1,635	0
24.01.2020 02:00	1,882	0
24.01.2020 03:00	0,517	0
24.01.2020 04:00	0,433	0
24.01.2020 05:00	0,35	0
24.01.2020 06:00	0,407	0
24.01.2020 07:00	0,36	0
24.01.2020 08:00	0,528	0
24.01.2020 09:00	0,042	0,742
24.01.2020 10:00	0	2,497
24.01.2020 11:00	0,001	3,156
24.01.2020 12:00	0,077	3,205
24.01.2020 13:00	0,512	2,587
24.01.2020 14:00	0	1,512
24.01.2020 15:00	0,286	0,535
24.01.2020 16:00	1,319	0,088
24.01.2020 17:00	1,2	0
24.01.2020 18:00	0,876	0
24.01.2020 19:00	0,699	0
24.01.2020 20:00	0,667	0
24.01.2020 21:00	0,898	0
24.01.2020 22:00	1,615	0
24.01.2020 23:00	1,049	0
24.01.2020 00:00	1,124	0
25.01.2020 01:00	1,768	0
25.01.2020 02:00	0,563	0
25.01.2020 03:00	0,659	0
25.01.2020 04:00	0,393	0
25.01.2020 05:00	0,425	0
25.01.2020 06:00	0,329	0
25.01.2020 07:00	0,417	0
25.01.2020 08:00	0,338	0
25.01.2020 09:00	0,229	0,023
25.01.2020 10:00	0,292	0,153
25.01.2020 11:00	0,11	0,089
25.01.2020 12:00	0,319	0,295
25.01.2020 13:00	0,398	0,424
25.01.2020 14:00	0,293	0,903
25.01.2020 15:00	2,182	0,274
25.01.2020 16:00	1,069	0,058
25.01.2020 17:00	0,856	0
25.01.2020 18:00	1,1	0
25.01.2020 19:00	0,988	0
25.01.2020 20:00	1,477	0
25.01.2020 21:00	1,054	0
25.01.2020 22:00	1,386	0
25.01.2020 23:00	0,842	0
25.01.2020 00:00	1,287	0
26.01.2020 01:00	2,298	0
26.01.2020 02:00	0,516	0
26.01.2020 03:00	0,442	0
26.01.2020 04:00	0,505	0
26.01.2020 05:00	0,333	0
26.01.2020 06:00	0,464	0
26.01.2020 07:00	0,474	0
26.01.2020 08:00	0,456	0
26.01.2020 09:00	0,448	0,002
26.01.2020 10:00	1,834	0,014
26.01.2020 11:00	0,664	0,159
26.01.2020 12:00	0,896	0,169
26.01.2020 13:00	0,331	0,185
26.01.2020 14:00	0,804	0,624
26.01.2020 15:00	0,032	0,915
26.01.2020 16:00	0,436	0,223
26.01.2020 17:00	0,749	0
26.01.2020 18:00	0,795	0
26.01.2020 19:00	0,7	0
26.01.2020 20:00	0,74	0
26.01.2020 21:00	0,732	0
26.01.2020 22:00	0,782	0
26.01.2020 23:00	1,02	0
26.01.2020 00:00	1,379	0
27.01.2020 01:00	0,994	0
27.01.2020 02:00	0,389	0
27.01.2020 03:00	0,498	0
27.01.2020 04:00	0,459	0
27.01.2020 05:00	0,424	0
27.01.2020 06:00	0,476	0
27.01.2020 07:00	0,491	0
27.01.2020 08:00	0,454	0
27.01.2020 09:00	0,273	0,434
27.01.2020 10:00	0	1,553
27.01.2020 11:00	0,075	2,351
27.01.2020 12:00	0,206	1,59
27.01.2020 13:00	0,003	1,287
27.01.2020 14:00	0,004	1,079
27.01.2020 15:00	0,041	0,709
27.01.2020 16:00	0,328	0,172
27.01.2020 17:00	0,809	0,001
27.01.2020 18:00	0,696	0
27.01.2020 19:00	0,48	0
27.01.2020 20:00	0,466	0
27.01.2020 21:00	0,795	0
27.01.2020 22:00	1,037	0
27.01.2020 23:00	1,489	0
27.01.2020 00:00	1,181	0
28.01.2020 01:00	0,381	0
28.01.2020 02:00	0,429	0
28.01.2020 03:00	0,304	0
28.01.2020 04:00	0,377	0
28.01.2020 05:00	0,381	0
28.01.2020 06:00	0,364	0
28.01.2020 07:00	0,345	0
28.01.2020 08:00	0,641	0
28.01.2020 09:00	0,481	0
28.01.2020 10:00	0,325	0,024
28.01.2020 11:00	0,165	0,111
28.01.2020 12:00	0,024	0,366
28.01.2020 13:00	0,068	0,94
28.01.2020 14:00	0	1,008
28.01.2020 15:00	0	0,866
28.01.2020 16:00	0,672	0,153
28.01.2020 17:00	1,89	0
28.01.2020 18:00	0,477	0
28.01.2020 19:00	0,521	0
28.01.2020 20:00	0,521	0
28.01.2020 21:00	0,473	0
28.01.2020 22:00	0,818	0
28.01.2020 23:00	0,877	0
28.01.2020 00:00	1,537	0
29.01.2020 01:00	1,419	0
29.01.2020 02:00	0,426	0
29.01.2020 03:00	0,414	0
29.01.2020 04:00	0,362	0
29.01.2020 05:00	0,407	0
29.01.2020 06:00	0,442	0
29.01.2020 07:00	0,345	0
29.01.2020 08:00	0,448	0
29.01.2020 09:00	0,525	0,04
29.01.2020 10:00	0,112	0,158
29.01.2020 11:00	0,042	1,032
29.01.2020 12:00	0	2,513
29.01.2020 13:00	0,104	0,868
29.01.2020 14:00	0,448	0,266
29.01.2020 15:00	0,512	0,352
29.01.2020 16:00	0,429	0,136
29.01.2020 17:00	0,75	0
29.01.2020 18:00	0,876	0
29.01.2020 19:00	0,69	0
29.01.2020 20:00	0,687	0
29.01.2020 21:00	1,373	0
29.01.2020 22:00	0,998	0
29.01.2020 23:00	0,887	0
29.01.2020 00:00	1,123	0
30.01.2020 01:00	2,011	0
30.01.2020 02:00	0,497	0
30.01.2020 03:00	0,444	0
30.01.2020 04:00	0,392	0
30.01.2020 05:00	0,385	0
30.01.2020 06:00	0,436	0
30.01.2020 07:00	0,428	0
30.01.2020 08:00	0,346	0
30.01.2020 09:00	0,243	0,19
30.01.2020 10:00	0,003	0,878
30.01.2020 11:00	0	1,716
30.01.2020 12:00	0,047	0,619
30.01.2020 13:00	0,168	0,549
30.01.2020 14:00	0,387	0,108
30.01.2020 15:00	0,598	0,037
30.01.2020 16:00	0,739	0,002
30.01.2020 17:00	1,033	0
30.01.2020 18:00	1,129	0
30.01.2020 19:00	0,904	0
30.01.2020 20:00	0,748	0
30.01.2020 21:00	0,692	0
30.01.2020 22:00	0,838	0
30.01.2020 23:00	0,877	0
30.01.2020 00:00	1,32	0
31.01.2020 01:00	1,233	0
31.01.2020 02:00	0,624	0
31.01.2020 03:00	0,478	0
31.01.2020 04:00	0,374	0
31.01.2020 05:00	0,372	0
31.01.2020 06:00	0,347	0
31.01.2020 07:00	0,313	0
31.01.2020 08:00	0,582	0
31.01.2020 09:00	0,462	0
31.01.2020 10:00	0,457	0,001
31.01.2020 11:00	0,264	0,042
31.01.2020 12:00	0,554	0,492
31.01.2020 13:00	0,123	1,145
31.01.2020 14:00	0,6	0,085
31.01.2020 15:00	0,956	0,024
31.01.2020 16:00	3,41	0
31.01.2020 17:00	2,215	0
31.01.2020 18:00	1,51	0
31.01.2020 19:00	0,725	0
31.01.2020 20:00	1,671	0
31.01.2020 21:00	0,791	0
31.01.2020 22:00	0,856	0
31.01.2020 23:00	0,762	0
31.01.2020 00:00	0,805	0
01.02.2020 01:00	0,606	0
01.02.2020 02:00	0,554	0
01.02.2020 03:00	0,415	0
01.02.2020 04:00	0,327	0
01.02.2020 05:00	0,36	0
01.02.2020 06:00	0,37	0
01.02.2020 07:00	0,275	0
01.02.2020 08:00	0,589	0
01.02.2020 09:00	0,301	0,464
01.02.2020 10:00	0,618	1,383
01.02.2020 11:00	0,413	2,378
01.02.2020 12:00	0,001	2,593
01.02.2020 13:00	0,571	2,271
01.02.2020 14:00	0,057	1,542
01.02.2020 15:00	0,491	0,822
01.02.2020 16:00	0,796	0,133
01.02.2020 17:00	1,659	0
01.02.2020 18:00	1,71	0
01.02.2020 19:00	1,655	0
01.02.2020 20:00	2,048	0
01.02.2020 21:00	1,834	0
01.02.2020 22:00	0,634	0
01.02.2020 23:00	0,484	0
01.02.2020 00:00	0,564	0
02.02.2020 01:00	0,616	0
02.02.2020 02:00	0,416	0
02.02.2020 03:00	0,382	0
02.02.2020 04:00	0,324	0
02.02.2020 05:00	0,389	0
02.02.2020 06:00	0,268	0
02.02.2020 07:00	0,402	0
02.02.2020 08:00	0,384	0,053
02.02.2020 09:00	0,04	1,079
02.02.2020 10:00	0,197	0,306
02.02.2020 11:00	1,098	0,125
02.02.2020 12:00	0,094	0,34
02.02.2020 13:00	0,266	0,177
02.02.2020 14:00	0,116	0,433
02.02.2020 15:00	1,059	0
02.02.2020 16:00	1,596	0
02.02.2020 17:00	2,216	0
02.02.2020 18:00	1,333	0
02.02.2020 19:00	1,028	0
02.02.2020 20:00	0,972	0
02.02.2020 21:00	0,969	0
02.02.2020 22:00	1,05	0
02.02.2020 23:00	1,028	0
02.02.2020 00:00	0,712	0
03.02.2020 01:00	0,75	0
