data_i	kod_k	kod_u
04.03.2019	AE	5134
04.03.2019	AR	9265
04.03.2019	BE	9441
04.03.2019	BR	9451
04.03.2019	CO	9444
04.03.2019	CZ	13401
04.03.2019	DE	12726
04.03.2019	DE	6976
04.03.2019	DE	4186
04.03.2019	DE	7218
04.03.2019	ES	10941
04.03.2019	ES	10942
04.03.2019	GB	10942
04.03.2019	IN	8669
04.03.2019	IN	11006
04.03.2019	IT	11667
04.03.2019	JP	11302
04.03.2019	MX	11302
04.03.2019	MX	11656
04.03.2019	NL	4823
04.03.2019	NL	11635
04.03.2019	PL	10968
04.03.2019	PL	10968
04.03.2019	SY	11061
04.03.2019	US	11686
04.03.2019	US	7280
04.03.2019	US	8561
04.03.2019	US	15190
04.03.2019	US	4192
04.03.2019	US	11803
04.03.2019	US	8564
04.03.2019	US	8564
04.03.2019	US	11634
04.03.2019	US	68
04.03.2019	US	68
04.03.2019	US	15195
04.03.2019	US	12546
04.03.2019	US	991
05.03.2019	AR	1819
05.03.2019	AR	5071
05.03.2019	BG	5008
05.03.2019	BY	5008
05.03.2019	DE	5008
05.03.2019	DE	4909
05.03.2019	DE	5062
05.03.2019	DE	4894
05.03.2019	DE	4894
05.03.2019	EC	9232
05.03.2019	FI	12023
05.03.2019	FR	11405
05.03.2019	FR	12010
05.03.2019	FR	10790
05.03.2019	GB	11891
05.03.2019	GB	7302
05.03.2019	GB	7218
05.03.2019	GB	135
05.03.2019	GR	12015
05.03.2019	IR	12015
05.03.2019	IT	12015
05.03.2019	IT	877
05.03.2019	JP	11934
05.03.2019	NL	11935
05.03.2019	NL	15196
05.03.2019	PE	11296
05.03.2019	PH	11296
05.03.2019	PL	11296
05.03.2019	PL	10970
05.03.2019	RU	11270
05.03.2019	RU	11310
05.03.2019	UA	11206
05.03.2019	US	8529
05.03.2019	US	7280
05.03.2019	US	11508
05.03.2019	US	11632
05.03.2019	US	11634
05.03.2019	US	15181
05.03.2019	US	15181
05.03.2019	US	11118
05.03.2019	US	11903
05.03.2019	US	15188
05.03.2019	US	11025
06.03.2019	AR	1805
06.03.2019	AU	13458
06.03.2019	CA	9239
06.03.2019	CA	12796
06.03.2019	CL	5093
06.03.2019	CL	5022
06.03.2019	CR	5022
06.03.2019	DE	5069
06.03.2019	DE	5120
06.03.2019	DE	5008
06.03.2019	DE	4975
06.03.2019	ES	5078
06.03.2019	FR	5012
06.03.2019	GB	5012
06.03.2019	GB	9451
06.03.2019	GB	9224
06.03.2019	IT	8581
06.03.2019	IT	8581
06.03.2019	IT	15114
06.03.2019	MX	12015
06.03.2019	MX	12019
06.03.2019	NL	11006
06.03.2019	NL	11935
06.03.2019	PL	11656
06.03.2019	PR	11431
06.03.2019	PT	8529
06.03.2019	PT	8534
06.03.2019	PT	7265
06.03.2019	US	7293
06.03.2019	US	8558
06.03.2019	US	15152
06.03.2019	US	11261
06.03.2019	US	11627
06.03.2019	US	11634
06.03.2019	US	15188
07.03.2019	AU	2607
07.03.2019	BR	5093
07.03.2019	CA	4997
07.03.2019	CH	5126
07.03.2019	DE	4888
07.03.2019	DE	4989
07.03.2019	DE	5008
07.03.2019	DE	5062
07.03.2019	DE	4960
07.03.2019	DE	6549
07.03.2019	FR	9451
07.03.2019	FR	9444
07.03.2019	GB	15457
07.03.2019	GB	15182
07.03.2019	GB	11526
07.03.2019	HU	15114
07.03.2019	IT	7199
07.03.2019	IT	11006
07.03.2019	IT	11496
07.03.2019	MX	11152
07.03.2019	SE	11605
07.03.2019	SE	11606
07.03.2019	SI	11296
07.03.2019	SK	11350
07.03.2019	SK	11911
07.03.2019	US	11270
07.03.2019	US	7338
07.03.2019	US	4208
07.03.2019	US	7219
07.03.2019	US	7219
07.03.2019	US	15189
07.03.2019	US	8558
07.03.2019	US	11505
07.03.2019	US	11505
07.03.2019	US	11632
07.03.2019	UZ	15158
08.03.2019	BE	14427
08.03.2019	BG	2619
08.03.2019	BO	4988
08.03.2019	CA	5008
08.03.2019	DE	5062
08.03.2019	DE	4931
08.03.2019	DE	4894
08.03.2019	DE	2256
08.03.2019	DE	9441
08.03.2019	DE	13303
08.03.2019	DE	15198
08.03.2019	DE	11528
08.03.2019	DZ	11528
08.03.2019	FR	10943
08.03.2019	GR	11006
08.03.2019	HU	11935
08.03.2019	IR	11604
08.03.2019	IT	5051
08.03.2019	IT	11094
08.03.2019	IT	11911
08.03.2019	PE	11270
08.03.2019	SI	10968
08.03.2019	TH	11859
08.03.2019	US	7377
08.03.2019	US	7347
08.03.2019	US	11508
08.03.2019	US	4203
08.03.2019	US	8428
08.03.2019	US	6475
08.03.2019	US	5022
08.03.2019	US	8835
09.03.2019	AR	7006
09.03.2019	AT	6883
09.03.2019	CA	15536
09.03.2019	CA	8626
09.03.2019	CH	11942
09.03.2019	DE	11573
09.03.2019	DE	11526
09.03.2019	DE	11528
09.03.2019	DE	11528
09.03.2019	ES	10943
09.03.2019	GB	10941
09.03.2019	GB	11006
09.03.2019	HK	11656
09.03.2019	IE	4844
09.03.2019	IE	4949
09.03.2019	IL	11855
09.03.2019	MX	8529
09.03.2019	NL	7389
09.03.2019	PL	7325
09.03.2019	PL	15189
09.03.2019	PL	7436
09.03.2019	RU	11508
09.03.2019	RU	11632
09.03.2019	RU	4214
09.03.2019	RU	11120
09.03.2019	RU	15158
09.03.2019	US	4203
09.03.2019	US	15188
09.03.2019	US	11173
09.03.2019	US	14427
09.03.2019	US	9237
09.03.2019	US	5022
09.03.2019	US	5022
09.03.2019	ZA	5008
10.03.2019	AR	5134
10.03.2019	CA	5134
10.03.2019	CL	932
10.03.2019	DE	14631
10.03.2019	DE	7296
10.03.2019	DE	10790
10.03.2019	ES	11526
10.03.2019	FR	11525
10.03.2019	FR	7302
10.03.2019	GB	10943
10.03.2019	GB	10943
10.03.2019	GB	10943
10.03.2019	GR	10943
10.03.2019	GR	10941
10.03.2019	IE	15566
10.03.2019	IN	11011
10.03.2019	IN	11935
10.03.2019	IR	11935
10.03.2019	IT	10953
10.03.2019	IT	11302
10.03.2019	IT	11652
10.03.2019	LV	11645
10.03.2019	NO	4826
10.03.2019	PT	11086
10.03.2019	PT	11910
10.03.2019	PY	11383
10.03.2019	RU	11911
10.03.2019	RU	11431
10.03.2019	SE	11685
10.03.2019	TR	10958
10.03.2019	UA	10958
10.03.2019	US	4208
10.03.2019	US	15189
10.03.2019	US	11211
10.03.2019	US	11505
10.03.2019	US	11505
10.03.2019	US	11508
10.03.2019	US	11634
10.03.2019	US	11634
10.03.2019	US	4214
10.03.2019	US	4214
10.03.2019	US	15188
10.03.2019	US	15188
10.03.2019	US	15195
10.03.2019	US	13949
10.03.2019	US	9237
10.03.2019	VN	5022
10.03.2019	ZA	4997
11.03.2019	AR	4881
11.03.2019	AU	5012
11.03.2019	CA	5134
11.03.2019	CH	9446
11.03.2019	CO	1633
11.03.2019	CZ	14894
11.03.2019	DE	7075
11.03.2019	DE	15536
11.03.2019	ES	8581
11.03.2019	ES	8653
11.03.2019	FR	15182
11.03.2019	FR	15206
11.03.2019	GR	11526
11.03.2019	GR	7302
11.03.2019	IR	15114
11.03.2019	IR	15114
11.03.2019	IT	10941
11.03.2019	IT	11011
11.03.2019	IT	4185
11.03.2019	KR	11301
11.03.2019	RS	11656
11.03.2019	RU	4962
11.03.2019	RU	12021
11.03.2019	SE	11213
11.03.2019	UA	11431
11.03.2019	US	11106
11.03.2019	US	7265
11.03.2019	US	4208
11.03.2019	US	8585
11.03.2019	US	11634
11.03.2019	US	11633
11.03.2019	US	15748
11.03.2019	US	4214
11.03.2019	US	4214
11.03.2019	US	12737
11.03.2019	US	12564
11.03.2019	US	12564
11.03.2019	US	3638
11.03.2019	US	12587
11.03.2019	US	5022
11.03.2019	US	5038
12.03.2019	AR	4895
12.03.2019	AR	4983
12.03.2019	AT	4921
12.03.2019	AT	4894
12.03.2019	DE	4894
12.03.2019	DE	6840
12.03.2019	DE	1000
12.03.2019	DE	12023
12.03.2019	DE	11528
12.03.2019	DE	7218
12.03.2019	DE	15114
12.03.2019	DE	15154
12.03.2019	ES	12019
12.03.2019	ES	877
12.03.2019	ES	7393
12.03.2019	FI	11006
12.03.2019	FI	11006
12.03.2019	FR	11656
12.03.2019	FR	11646
12.03.2019	GB	4962
12.03.2019	HK	11381
12.03.2019	HU	11350
12.03.2019	IE	11870
12.03.2019	IN	12009
12.03.2019	IN	11098
12.03.2019	IR	7322
12.03.2019	IT	7322
12.03.2019	IT	7219
12.03.2019	NG	15189
12.03.2019	NL	7496
12.03.2019	NL	11803
12.03.2019	PL	8564
12.03.2019	PL	15166
12.03.2019	RO	11632
12.03.2019	RU	11632
12.03.2019	SE	11634
12.03.2019	TR	11633
12.03.2019	US	4214
12.03.2019	US	15158
12.03.2019	US	4203
12.03.2019	US	11240
12.03.2019	US	11161
12.03.2019	US	988
12.03.2019	US	805
12.03.2019	US	12753
12.03.2019	US	4446
12.03.2019	US	5022
12.03.2019	US	5022
12.03.2019	US	5069
12.03.2019	ZA	4890
13.03.2019	AR	4890
13.03.2019	AR	5008
13.03.2019	AR	4894
13.03.2019	AU	9444
13.03.2019	AU	9443
13.03.2019	CH	1447
13.03.2019	CH	5233
13.03.2019	CL	687
13.03.2019	CZ	8630
13.03.2019	DE	7302
13.03.2019	DE	7302
13.03.2019	DE	11278
13.03.2019	DE	11659
13.03.2019	DE	11934
13.03.2019	DE	7498
13.03.2019	DE	8644
13.03.2019	FI	11296
13.03.2019	FR	11656
13.03.2019	FR	11656
13.03.2019	FR	11656
13.03.2019	IR	11543
13.03.2019	IT	11514
13.03.2019	IT	11412
13.03.2019	NZ	12021
13.03.2019	PL	11270
13.03.2019	RO	11209
13.03.2019	RU	11101
13.03.2019	SK	7372
13.03.2019	TH	11743
13.03.2019	US	11587
13.03.2019	US	8525
13.03.2019	US	11013
13.03.2019	US	8601
13.03.2019	US	15152
13.03.2019	US	14891
13.03.2019	US	8585
13.03.2019	US	11508
13.03.2019	US	11632
13.03.2019	US	4214
13.03.2019	US	4203
13.03.2019	US	11020
13.03.2019	US	12748
13.03.2019	US	6447
13.03.2019	US	12753
13.03.2019	US	4888
13.03.2019	US	4883
13.03.2019	UZ	5088
13.03.2019	VN	9451
13.03.2019	ZA	1018
14.03.2019	BA	10030
14.03.2019	BD	12786
14.03.2019	BD	6667
14.03.2019	CA	12010
14.03.2019	CH	11224
14.03.2019	CH	56
14.03.2019	CN	11942
14.03.2019	DE	11325
14.03.2019	DE	11528
14.03.2019	DE	7218
14.03.2019	DE	12015
14.03.2019	ES	12019
14.03.2019	ES	10943
14.03.2019	FR	10941
14.03.2019	HU	10941
14.03.2019	IE	11731
14.03.2019	IN	11006
14.03.2019	IN	11935
14.03.2019	IT	12034
14.03.2019	IT	8644
14.03.2019	MA	11296
14.03.2019	MA	11656
14.03.2019	MA	11656
14.03.2019	NL	11645
14.03.2019	NO	4972
14.03.2019	PL	11239
14.03.2019	PL	11908
14.03.2019	RO	11431
14.03.2019	SE	15142
14.03.2019	TR	7372
14.03.2019	US	4208
14.03.2019	US	11598
14.03.2019	US	8525
14.03.2019	US	11211
14.03.2019	US	8615
14.03.2019	US	15136
14.03.2019	US	11505
14.03.2019	US	11217
14.03.2019	US	9613
14.03.2019	US	12646
14.03.2019	US	12788
14.03.2019	US	4446
14.03.2019	US	5022
14.03.2019	US	4970
14.03.2019	US	4936
14.03.2019	US	5008
14.03.2019	US	4992
14.03.2019	US	4921
14.03.2019	ZA	9255
15.03.2019	AM	9255
15.03.2019	AR	9451
15.03.2019	AR	9444
15.03.2019	AR	8131
15.03.2019	AT	12023
15.03.2019	AU	11110
15.03.2019	CA	7302
15.03.2019	CH	11461
15.03.2019	CH	12015
15.03.2019	CZ	12019
15.03.2019	CZ	11006
15.03.2019	CZ	12057
15.03.2019	DE	11935
15.03.2019	DE	11935
15.03.2019	ES	7498
15.03.2019	FR	11548
15.03.2019	GR	11656
15.03.2019	HU	11645
15.03.2019	IE	11645
15.03.2019	IN	11964
15.03.2019	IN	4962
15.03.2019	IT	4962
15.03.2019	IT	11091
15.03.2019	IT	11350
15.03.2019	IT	11208
15.03.2019	LA	11672
15.03.2019	LU	7280
15.03.2019	MD	8646
15.03.2019	MX	7330
15.03.2019	NZ	11590
15.03.2019	PH	11590
15.03.2019	PH	11211
15.03.2019	PL	11211
15.03.2019	PL	7347
15.03.2019	RE	8614
15.03.2019	SA	15136
15.03.2019	TH	15136
15.03.2019	TR	7395
15.03.2019	UA	9361
15.03.2019	US	11632
15.03.2019	US	4214
15.03.2019	US	4214
15.03.2019	US	11042
15.03.2019	US	15513
15.03.2019	US	13209
15.03.2019	US	807
15.03.2019	US	12603
15.03.2019	US	9606
15.03.2019	US	5040
15.03.2019	US	4888
15.03.2019	US	5068
15.03.2019	US	4883
15.03.2019	US	4992
15.03.2019	US	5078
15.03.2019	US	5096
15.03.2019	US	4960
15.03.2019	US	9232
16.03.2019	AT	9260
16.03.2019	AU	12303
16.03.2019	AU	14916
16.03.2019	AU	3209
16.03.2019	BE	15699
16.03.2019	BR	11998
16.03.2019	BY	11109
16.03.2019	CH	8649
16.03.2019	CH	7272
16.03.2019	CY	11158
16.03.2019	CZ	8623
16.03.2019	DE	4186
16.03.2019	DE	7218
16.03.2019	DE	4187
16.03.2019	DE	11935
16.03.2019	DE	11288
16.03.2019	DE	11604
16.03.2019	DE	11656
16.03.2019	DE	11656
16.03.2019	DE	11656
16.03.2019	DE	11964
16.03.2019	DE	11546
16.03.2019	DE	4729
16.03.2019	FR	4962
16.03.2019	FR	11930
16.03.2019	FR	11343
16.03.2019	FR	10968
16.03.2019	FR	11846
16.03.2019	GB	11310
16.03.2019	HU	11870
16.03.2019	IE	11206
16.03.2019	IN	7433
16.03.2019	IR	11672
16.03.2019	IT	7280
16.03.2019	IT	15189
16.03.2019	LB	15189
16.03.2019	NL	7442
16.03.2019	NL	11184
16.03.2019	NL	11508
16.03.2019	PH	11632
16.03.2019	PH	11634
16.03.2019	PL	15188
16.03.2019	PL	15188
16.03.2019	RO	15195
16.03.2019	RO	1782
16.03.2019	RU	14501
16.03.2019	SI	13208
16.03.2019	UA	821
16.03.2019	UA	811
16.03.2019	US	1352
16.03.2019	US	12740
16.03.2019	US	5038
16.03.2019	US	5068
16.03.2019	US	4890
16.03.2019	US	5008
16.03.2019	US	4992
16.03.2019	US	4921
16.03.2019	US	4921
16.03.2019	US	7709
16.03.2019	US	7709
17.03.2019	AR	9265
17.03.2019	AR	9438
17.03.2019	AT	9438
17.03.2019	BR	9451
17.03.2019	CA	10673
17.03.2019	CZ	13440
17.03.2019	DE	13440
17.03.2019	DE	11401
17.03.2019	DE	11503
17.03.2019	DE	124
17.03.2019	DE	8649
17.03.2019	DE	4182
17.03.2019	FR	4186
17.03.2019	GB	12019
17.03.2019	GB	12019
17.03.2019	GB	12019
17.03.2019	HR	10943
17.03.2019	HU	10943
17.03.2019	IL	10941
17.03.2019	IN	10941
17.03.2019	IN	7279
17.03.2019	IR	11194
17.03.2019	IR	10918
17.03.2019	IT	11006
17.03.2019	JP	11296
17.03.2019	MA	4739
17.03.2019	MX	11092
17.03.2019	NL	11032
17.03.2019	PH	11091
17.03.2019	PL	11908
17.03.2019	PL	11350
17.03.2019	PL	11350
17.03.2019	PL	11846
17.03.2019	PT	11263
17.03.2019	RO	11277
17.03.2019	RO	11855
17.03.2019	RO	7443
17.03.2019	RU	11774
17.03.2019	RU	11211
17.03.2019	TR	8574
17.03.2019	TR	11634
17.03.2019	UA	11633
17.03.2019	US	68
17.03.2019	US	4203
17.03.2019	US	6874
17.03.2019	US	14468
17.03.2019	US	821
17.03.2019	US	805
17.03.2019	US	13413
17.03.2019	US	9259
17.03.2019	US	12796
17.03.2019	US	13734
17.03.2019	US	5071
17.03.2019	US	5059
17.03.2019	US	5132
17.03.2019	US	5132
17.03.2019	US	4970
17.03.2019	US	5008
17.03.2019	US	4979
17.03.2019	US	5062
17.03.2019	US	5032
18.03.2019	AT	9442
18.03.2019	AT	9438
18.03.2019	AT	9451
18.03.2019	AU	11405
18.03.2019	BE	11940
18.03.2019	BR	4182
18.03.2019	CH	15451
18.03.2019	CL	7302
18.03.2019	CZ	7191
18.03.2019	DE	7191
18.03.2019	DE	7343
18.03.2019	DE	15114
18.03.2019	EC	15114
18.03.2019	EG	12019
18.03.2019	ES	10943
18.03.2019	ES	7199
18.03.2019	ES	8667
18.03.2019	ES	8667
18.03.2019	FR	11332
18.03.2019	FR	11605
18.03.2019	FR	11302
18.03.2019	GB	11656
18.03.2019	GB	4764
18.03.2019	GB	4950
18.03.2019	IL	11518
18.03.2019	IN	11911
18.03.2019	IN	11431
18.03.2019	IN	11206
18.03.2019	IN	15140
18.03.2019	IN	11061
18.03.2019	IN	11617
18.03.2019	IR	8646
18.03.2019	IT	15189
18.03.2019	IT	15189
18.03.2019	IT	7496
18.03.2019	KZ	11593
18.03.2019	MX	7335
18.03.2019	NL	15115
18.03.2019	PH	4184
18.03.2019	PH	15208
18.03.2019	PK	8585
18.03.2019	PK	15166
18.03.2019	PL	11702
18.03.2019	RS	8621
18.03.2019	RS	11505
18.03.2019	SK	8662
18.03.2019	US	4203
18.03.2019	US	15188
18.03.2019	US	894
18.03.2019	US	34
18.03.2019	US	12796
18.03.2019	US	12753
18.03.2019	US	12768
18.03.2019	US	4883
18.03.2019	US	5008
18.03.2019	US	4894
18.03.2019	US	4960
18.03.2019	US	7237
18.03.2019	US	15193
18.03.2019	US	11526
18.03.2019	US	11528
18.03.2019	US	7302
18.03.2019	US	7302
18.03.2019	US	7191
18.03.2019	UZ	10943
19.03.2019	CA	10941
19.03.2019	CA	10941
19.03.2019	CL	7195
19.03.2019	CL	877
19.03.2019	CZ	11011
19.03.2019	DE	11006
19.03.2019	DE	11006
19.03.2019	DE	11006
19.03.2019	DO	11005
19.03.2019	ES	11935
19.03.2019	ES	11935
19.03.2019	GB	11988
19.03.2019	GB	11988
19.03.2019	HU	11648
19.03.2019	ID	11645
19.03.2019	IN	11956
19.03.2019	IN	5982
19.03.2019	IN	11384
19.03.2019	IN	12054
19.03.2019	IN	11137
19.03.2019	IT	10968
19.03.2019	IT	8529
19.03.2019	KZ	15611
19.03.2019	MA	7353
19.03.2019	MM	8619
19.03.2019	PL	7394
19.03.2019	PL	11505
19.03.2019	SK	11508
19.03.2019	TH	4214
19.03.2019	US	4214
19.03.2019	US	15181
19.03.2019	US	11124
19.03.2019	US	4203
19.03.2019	US	4203
19.03.2019	US	11026
19.03.2019	US	866
19.03.2019	US	2564
19.03.2019	US	1606
19.03.2019	US	4997
19.03.2019	US	4997
19.03.2019	US	4888
19.03.2019	US	5112
19.03.2019	US	5008
19.03.2019	US	4881
19.03.2019	US	4894
19.03.2019	US	10080
19.03.2019	US	9247
19.03.2019	US	9438
19.03.2019	US	9438
19.03.2019	US	14012
19.03.2019	US	14012
19.03.2019	US	13438
19.03.2019	US	7058
20.03.2019	AE	10992
20.03.2019	AR	11970
20.03.2019	AT	11970
20.03.2019	AT	11109
20.03.2019	CA	11109
20.03.2019	CH	11405
20.03.2019	CZ	8630
20.03.2019	DE	15451
20.03.2019	EC	11528
20.03.2019	ES	7302
20.03.2019	ES	12019
20.03.2019	FR	10941
20.03.2019	FR	10941
20.03.2019	FR	4199
20.03.2019	GB	877
20.03.2019	GB	11006
20.03.2019	GR	11648
20.03.2019	GR	11645
20.03.2019	IN	7750
20.03.2019	IN	11513
20.03.2019	IN	11382
20.03.2019	IN	11382
20.03.2019	IN	11908
20.03.2019	IN	11383
20.03.2019	IT	11137
20.03.2019	IT	11343
20.03.2019	IT	10970
20.03.2019	IT	10968
20.03.2019	NL	8529
20.03.2019	PK	15171
20.03.2019	PL	15611
20.03.2019	PL	11098
20.03.2019	PL	7353
20.03.2019	PL	7372
20.03.2019	RO	15160
20.03.2019	RO	8523
20.03.2019	RU	11588
20.03.2019	RU	15169
20.03.2019	SK	15201
20.03.2019	SK	8615
20.03.2019	UA	4184
20.03.2019	US	11634
20.03.2019	US	11634
20.03.2019	US	11634
20.03.2019	US	4214
20.03.2019	US	15418
20.03.2019	US	4203
20.03.2019	US	15188
20.03.2019	US	11030
20.03.2019	US	14558
20.03.2019	US	1016
20.03.2019	US	837
20.03.2019	US	12618
20.03.2019	US	12718
20.03.2019	US	5022
20.03.2019	US	4997
20.03.2019	US	5069
20.03.2019	US	4888
20.03.2019	US	4999
20.03.2019	US	13389
20.03.2019	US	9441
20.03.2019	US	9451
20.03.2019	US	2417
20.03.2019	US	1570
20.03.2019	US	11109
20.03.2019	US	12010
20.03.2019	US	11157
20.03.2019	US	11942
20.03.2019	US	15199
20.03.2019	US	11316
20.03.2019	US	11526
20.03.2019	VN	11528
21.03.2019	BD	7302
21.03.2019	BR	12018
21.03.2019	BS	10943
21.03.2019	CH	10941
21.03.2019	CL	11731
21.03.2019	CO	11934
21.03.2019	CZ	10953
21.03.2019	DE	11296
21.03.2019	DE	11656
21.03.2019	DE	11544
21.03.2019	DE	4851
21.03.2019	DE	4844
21.03.2019	DZ	5985
21.03.2019	ES	11085
21.03.2019	FR	11383
21.03.2019	HU	11635
21.03.2019	HU	11208
21.03.2019	IE	11438
21.03.2019	IL	11209
21.03.2019	IN	11431
21.03.2019	IN	11855
21.03.2019	IN	11855
21.03.2019	IN	11206
21.03.2019	IN	11193
21.03.2019	IN	11108
21.03.2019	IN	8529
21.03.2019	IN	7377
21.03.2019	IQ	11672
21.03.2019	IQ	15171
21.03.2019	IR	7353
21.03.2019	IR	7372
21.03.2019	IR	7372
21.03.2019	IT	15189
21.03.2019	IT	11929
21.03.2019	IT	11013
21.03.2019	KG	11803
21.03.2019	KR	8619
21.03.2019	KZ	15152
21.03.2019	NL	7212
21.03.2019	NL	11508
21.03.2019	NO	11634
21.03.2019	NO	11634
21.03.2019	NZ	11633
21.03.2019	PH	4214
21.03.2019	PT	15181
21.03.2019	RU	15513
21.03.2019	SE	15158
21.03.2019	SV	15158
21.03.2019	TR	7304
21.03.2019	TR	4203
21.03.2019	US	11161
21.03.2019	US	14428
21.03.2019	US	6787
21.03.2019	US	1358
21.03.2019	US	1888
21.03.2019	US	8139
21.03.2019	US	9642
21.03.2019	US	9642
21.03.2019	US	3008
21.03.2019	US	3008
21.03.2019	US	5093
21.03.2019	US	5022
21.03.2019	US	4997
21.03.2019	US	5126
21.03.2019	US	4888
21.03.2019	US	4890
21.03.2019	US	4989
21.03.2019	US	5058
21.03.2019	US	4883
21.03.2019	US	4936
21.03.2019	US	5091
21.03.2019	US	5087
21.03.2019	US	5062
21.03.2019	US	5062
21.03.2019	US	5062
21.03.2019	US	4894
21.03.2019	VN	9351
21.03.2019	VN	9451
21.03.2019	ZA	9451
22.03.2019	AM	9444
22.03.2019	AR	9565
22.03.2019	AT	11109
22.03.2019	AU	11405
22.03.2019	BD	11435
22.03.2019	BD	15536
22.03.2019	BO	8581
22.03.2019	BR	1779
22.03.2019	CH	15604
22.03.2019	CL	11940
22.03.2019	CL	15193
22.03.2019	CZ	10790
22.03.2019	CZ	11528
22.03.2019	DE	7302
22.03.2019	DE	7262
22.03.2019	DE	15114
22.03.2019	DE	12019
22.03.2019	DE	12019
22.03.2019	DE	12019
22.03.2019	DE	12019
22.03.2019	DE	10943
22.03.2019	ES	10943
22.03.2019	ES	10943
22.03.2019	ES	10943
22.03.2019	ES	7199
22.03.2019	FR	877
22.03.2019	FR	11332
22.03.2019	FR	10922
22.03.2019	GB	11945
22.03.2019	GR	11935
22.03.2019	HR	12036
22.03.2019	HR	8644
22.03.2019	IE	8595
22.03.2019	IN	8595
22.03.2019	IN	11302
22.03.2019	IN	11642
22.03.2019	IN	11646
22.03.2019	IN	4862
22.03.2019	IQ	4944
22.03.2019	IR	6715
22.03.2019	IT	11911
22.03.2019	KG	11484
22.03.2019	KZ	11270
22.03.2019	LT	11438
22.03.2019	NL	11205
22.03.2019	NL	15140
22.03.2019	PH	8639
